date,resort algarve,algarve hotel,algarve tourism,algarve vacation
2015-12-05,0,0,0,0
2015-12-06,0,0,0,0
2015-12-07,0,0,0,0
2015-12-08,0,0,0,0
2015-12-09,0,0,0,0
2015-12-10,0,61,0,0
2015-12-11,0,0,0,0
2015-12-12,0,0,0,0
2015-12-13,0,0,0,0
2015-12-14,0,0,0,0
2015-12-15,61,0,0,0
2015-12-16,0,0,0,0
2015-12-17,0,0,0,0
2015-12-18,0,0,0,0
2015-12-19,0,0,0,0
2015-12-20,0,0,0,0
2015-12-21,0,0,0,0
2015-12-22,0,95,0,0
2015-12-23,0,0,0,0
2015-12-24,0,0,0,0
2015-12-25,0,0,0,0
2015-12-26,0,0,0,0
2015-12-27,0,70,0,0
2015-12-28,0,0,0,0
2015-12-29,0,0,0,0
2015-12-30,0,62,0,0
2015-12-31,0,0,0,0
2016-01-01,0,0,0,0
2016-01-02,0,0,0,0
2016-01-03,0,0,0,0
2016-01-04,0,0,0,0
2016-01-05,0,0,0,0
2016-01-06,0,54,0,0
2016-01-07,0,0,0,0
2016-01-08,0,0,0,0
2016-01-09,0,0,0,0
2016-01-10,0,0,0,0
2016-01-11,0,0,0,0
2016-01-12,0,0,0,0
2016-01-13,0,53,0,0
2016-01-14,0,47,0,0
2016-01-15,52,0,0,0
2016-01-16,0,0,0,0
2016-01-17,0,0,0,0
2016-01-18,0,46,0,0
2016-01-19,0,0,0,0
2016-01-20,0,50,0,0
2016-01-21,0,48,0,0
2016-01-22,0,84,0,0
2016-01-23,0,59,0,0
2016-01-24,0,0,0,0
2016-01-25,0,63,0,0
2016-01-26,0,0,0,0
2016-01-27,0,58,0,0
2016-01-28,0,79,0,0
2016-01-29,0,0,0,0
2016-01-30,0,0,0,0
2016-01-31,0,75,0,0
2016-02-01,0,55,0,0
2016-02-02,0,0,0,0
2016-02-03,0,100,0,0
2016-02-04,0,53,0,0
2016-02-05,0,52,0,0
2016-02-06,0,0,0,0
2016-02-07,0,96,0,0
2016-02-08,0,90,0,0
2016-02-09,0,79,0,0
2016-02-10,0,53,0,0
2016-02-11,0,0,0,0
2016-02-12,0,46,0,0
2016-02-13,0,79,0,0
2016-02-14,0,0,0,0
2016-02-15,0,60,0,0
2016-02-16,0,0,0,0
2016-02-17,0,0,0,0
2016-02-18,0,63,0,0
2016-02-19,0,0,0,0
2016-02-20,0,0,0,0
2016-02-21,0,70,0,0
2016-02-22,0,64,0,0
2016-02-23,0,58,0,0
2016-02-24,0,54,0,0
2016-02-25,0,0,0,0
2016-02-26,0,50,0,0
2016-02-27,0,48,0,0
2016-02-28,0,51,0,0
2016-02-29,0,40,0,0
2016-03-01,0,54,0,0
2016-03-02,0,53,0,0
2016-03-03,0,45,0,0
2016-03-04,0,45,0,0
2016-03-05,0,52,0,0
2016-03-06,0,62,0,0
2016-03-07,0,71,0,0
2016-03-08,0,59,0,0
2016-03-09,0,43,0,0
2016-03-10,0,0,0,0
2016-03-11,0,100,0,0
2016-03-12,0,0,0,0
2016-03-13,0,81,0,0
2016-03-14,0,50,0,0
2016-03-15,0,64,0,0
2016-03-16,0,56,0,0
2016-03-17,0,58,0,0
2016-03-18,0,41,0,0
2016-03-19,0,0,0,0
2016-03-20,0,67,0,0
2016-03-21,0,61,0,0
2016-03-22,0,64,0,0
2016-03-23,0,61,0,0
2016-03-24,0,80,0,0
2016-03-25,0,0,0,0
2016-03-26,0,48,0,0
2016-03-27,0,52,0,0
2016-03-28,46,69,0,0
2016-03-29,0,66,0,0
2016-03-30,0,76,0,0
2016-03-31,0,72,0,0
2016-04-01,0,0,0,0
2016-04-02,49,59,0,0
2016-04-03,0,50,0,0
2016-04-04,0,63,0,0
2016-04-05,0,58,0,0
2016-04-06,41,0,0,0
2016-04-07,0,66,0,0
2016-04-08,0,74,0,0
2016-04-09,0,100,0,0
2016-04-10,0,73,0,0
2016-04-11,0,83,0,0
2016-04-12,0,69,0,0
2016-04-13,0,39,0,0
2016-04-14,0,82,0,0
2016-04-15,0,64,0,0
2016-04-16,0,67,0,0
2016-04-17,0,77,0,0
2016-04-18,0,65,0,0
2016-04-19,0,53,0,0
2016-04-20,0,63,0,0
2016-04-21,0,69,0,0
2016-04-22,0,46,0,0
2016-04-23,0,71,0,0
2016-04-24,0,0,0,0
2016-04-25,0,63,0,0
2016-04-26,0,66,0,0
2016-04-27,0,66,0,0
2016-04-28,0,0,0,0
2016-04-29,0,0,0,0
2016-04-30,0,55,0,0
2016-05-01,0,0,0,0
2016-05-02,0,40,0,0
2016-05-03,0,0,0,0
2016-05-04,0,39,0,0
2016-05-05,0,46,0,0
2016-05-06,0,47,0,0
2016-05-07,0,59,0,0
